Voyage_ID,Vessel_name,Voyage_itinerary_place,Voyage_itinerary_purchase,Voyage_itinerary_disembarkation,Year_of_arrival,Slaves_arrived_at_1st_port,Captains_name
90536,Hardman,Liverpool,"Gold Coast, port unspecified",Kingston,1755,200,"Yowart, Joseph"
90537,Hardman,Liverpool,"Gold Coast, port unspecified",Kingston,1757,180,"Yowart, Joseph"
90538,Hardman,Liverpool,Gambia,Charleston,1758,152,"Jordan, Thomas"
90539,Little Billy,Liverpool,Anomabu,"Bahamas, port unspecified",1755,,"Webster, William<br/> Quirk, John"
90540,Chesterfield,Liverpool,Calabar,"St. Kitts, port unspecified",1754,,"Black, Patrick"
90541,Chesterfield,Liverpool,Calabar,Kingston,1756,350,"Black, Patrick"
90542,Chesterfield,Liverpool,Calabar,"Barbados, port unspecified",1758,396,"Black, Patrick<br/> Hesketh, Joseph"
90543,Tarleton,Liverpool,Bonny,"Barbados, port unspecified",1755,270,"Thompson, James"
90544,Tarleton,Liverpool,Bonny,Kingston,1756,385,"Thompson, James"
90545,Tarleton,Liverpool,Bonny,"St. Kitts, port unspecified",1758,,"Linecar, Samuel"
90546,Tarleton,Liverpool,Anomabu,Basse-Terre,1760,300,"Linecar, Samuel"
90547,Tarleton,Liverpool,Bonny,Kingston,1762,290,"Picken, Gawen"
90548,Knight,Liverpool,Anomabu,Kingston,1755,390,"Boats, William"
90549,Knight,Liverpool,Anomabu,"Jamaica, port unspecified",1757,364,"Boats, William"
90550,Barclay,Liverpool,"Windward Coast, port unspecified",Kingston,1755,302,"Tyrer, Thomas<br/> Evans, David<br/> Carus"
90551,Esther,Liverpool,Anomabu,Saint John (Antigua),1761,,"Ainsworth, Richard<br/> Grimshaw, Robert"
90552,James,Liverpool,Gambia,"Montserrat, port unspecified",1754,,"Hyde, Isaac<br/> Hyde, John"
90553,Elizabeth,Liverpool,Gambia,Kingston,1755,90,"Guthrie, David<br/> Hayes, Daniel"
90554,Elizabeth,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1756,116,"Jones, John"
90555,Mears,Liverpool,Gambia,Kingston,1755,97,"Allen, Patrick<br/> Berrill, Chris"
90556,Mears,Liverpool,"Gold Coast, port unspecified",Charleston,1758,243,"Berrill, Chris"
90557,Seahorse,Liverpool,"Windward Coast, port unspecified",Kingston,1755,,"Jibbald, James<br/> Welsh, Joseph"
90558,Juno,Liverpool,"Gold Coast, port unspecified",Kingston,1756,157,"Haynes, Thomas"
90559,New Eagle,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1760,95,"Jackson, Richard"
90560,Hesketh,Liverpool,"Gold Coast, port unspecified",Kingston,1755,165,"Copland, John"
90561,Blundell,Liverpool,"West Central Africa and St. Helena, port unspecified","Barbados, port unspecified",1754,,"Barkley, Thomas"
90563,Bee,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1756,118,"Walker, Archibald<br/> Gaskell, Anthony"
90564,John and Nancy,Liverpool,Gambia,,1754,,"Gee, John"
90565,Ferret,,"Africa., port unspecified","St. Kitts, port unspecified",1755,,"Whitehead, Thomas"
90566,Ferret,Liverpool,Cameroons,"Barbados, port unspecified",1756,127,"Bury, John<br/> Whitehead, Thomas"
90567,Ferret,Liverpool,Cameroons,"Martinique, port unspecified",1757,,"Bury, John"
